,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,is_outside,tagged_sequence
41,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[11]/td[3]/p/font,23,41,,,,,,,,,,,,1,o
42,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[12]/td[1]/p/font,Section 2.05,42,,,,,,,,,,,,1,o
43,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[12]/td[2]/p/font,Surrender and Payment,43,,,,,,,,,,,,1,o
44,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[12]/td[3]/p/font,24,44,,,,,,,,,,,,1,o
45,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[13]/td[1]/p/font,Section 2.06,45,,,,,,,,,,,,1,o
46,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[13]/td[2]/p/font,Dissenting Shares,46,,,,,,,,,,,,1,o
47,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[13]/td[3]/p/font,27,47,,,,,,,,,,,,1,o
48,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[14]/td[1]/p/font,Section 2.07,48,,,,,,,,,,,,1,o
49,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[14]/td[2]/p/font,Company Equity Awards,49,,,,,,,,,,,,1,o
50,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[14]/td[3]/p/font,27,50,,,,,,,,,,,,1,o
51,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[15]/td[1]/p/font,Section 2.08,51,,,,,,,,,,,,1,o
52,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[15]/td[2]/p/font,Adjustments,52,,,,,,,,,,,,1,o
53,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[15]/td[3]/p/font,29,53,,,,,,,,,,,,1,o
54,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[16]/td[1]/p/font,Section 2.09,54,,,,,,,,,,,,1,o
55,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[16]/td[2]/p/font,Fractional ADSs,55,,,,,,,,,,,,1,o
56,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[16]/td[3]/p/font,30,56,,,,,,,,,,,,1,o
57,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[17]/td[1]/p/font,Section 2.10,57,,,,,,,,,,,,1,o
58,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[17]/td[2]/p/font,Withholding Rights,58,,,,,,,,,,,,1,o
59,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[17]/td[3]/p/font,30,59,,,,,,,,,,,,1,o
60,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[18]/td[1]/p/font,Section 2.11,60,,,,,,,,,,,,1,o
61,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[18]/td[2]/p/font,Lost Certificates,61,,,,,,,,,,,,1,o
62,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[18]/td[3]/p/font,30,62,,,,,,,,,,,,1,o
63,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[19]/td[1]/p/font,Section 2.12,63,,,,,,,,,,,,1,o
64,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[19]/td[2]/p/font,Further Assurances,64,,,,,,,,,,,,1,o
65,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[19]/td[3]/p/font,30,65,,,,,,,,,,,,1,o
66,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[21]/td[1]/p/font,ARTICLE   III ORGANIZATIONAL DOCUMENTS; DIRECTORS AND OFFICERS,66,,,,,,,,,,,,1,o
67,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[21]/td[2]/p/font,30,67,,,,,,,,,,,,1,o
68,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[22]/td[1]/p/font,Section 3.01,68,,,,,,,,,,,,1,o
69,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[22]/td[2]/p/font,Certificate of   Incorporation and Bylaws of the First Surviving Corporation; Certificate of   Formation and Limited Liability Company Agreement of the Surviving Company,69,,,,,,,,,,,,1,o
70,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[22]/td[3]/p/font,30,70,,,,,,,,,,,,1,o
71,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[23]/td[1]/p/font,Section 3.02,71,,,,,,,,,,,,1,o
72,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[23]/td[2]/p/font,Directors and Officers   of the First Surviving Corporation and Surviving Company,72,,,,,,,,,,,,1,o
73,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[23]/td[3]/p/font,31,73,,,,,,,,,,,,1,o
74,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[25]/td[1]/p/font,ARTICLE   IV REPRESENTATIONS AND WARRANTIES OF THE COMPANY,74,,,,,,,,,,,,1,o
75,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[25]/td[2]/p/font,31,75,,,,,,,,,,,,1,o
76,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[26]/td[1]/p/font,Section 4.01,76,,,,,,,,,,,,1,o
77,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[26]/td[2]/p/font,Corporate Existence and   Power,77,,,,,,,,,,,,1,o
78,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[26]/td[3]/p/font,31,78,,,,,,,,,,,,1,o
79,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[27]/td[1]/p/font,Section 4.02,79,,,,,,,,,,,,1,o
80,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[27]/td[2]/p/font,Corporate Authorization,80,,,,,,,,,,,,1,o
81,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[27]/td[3]/p/font,32,81,,,,,,,,,,,,1,o
82,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[28]/td[1]/p/font,Section 4.03,82,,,,,,,,,,,,1,o
83,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[28]/td[2]/p/font,Governmental   Authorization,83,,,,,,,,,,,,1,o
84,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[28]/td[3]/p/font,32,84,,,,,,,,,,,,1,o
85,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[29]/td[1]/p/font,Section 4.04,85,,,,,,,,,,,,1,o
86,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[29]/td[2]/p/font,Non-contravention,86,,,,,,,,,,,,1,o
87,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[29]/td[3]/p/font,32,87,,,,,,,,,,,,1,o
88,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[30]/td[1]/p/font,Section 4.05,88,,,,,,,,,,,,1,o
89,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[30]/td[2]/p/font,Capitalization,89,,,,,,,,,,,,1,o
90,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[30]/td[3]/p/font,33,90,,,,,,,,,,,,1,o
91,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[31]/td[1]/p/font,Section 4.06,91,,,,,,,,,,,,1,o
92,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[31]/td[2]/p/font,Subsidiaries,92,,,,,,,,,,,,1,o
93,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[31]/td[3]/p/font,34,93,,,,,,,,,,,,1,o
94,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[32]/td[1]/p/font,Section 4.07,94,,,,,,,,,,,,1,o
95,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[32]/td[2]/p/font,SEC Filings and the   Sarbanes-Oxley Act,95,,,,,,,,,,,,1,o
96,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[32]/td[3]/p/font,34,96,,,,,,,,,,,,1,o
97,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[33]/td[1]/p/font,Section 4.08,97,,,,,,,,,,,,1,o
98,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[33]/td[2]/p/font,Financial Statements   and Financial Matters,98,,,,,,,,,,,,1,o
99,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[33]/td[3]/p/font,36,99,,,,,,,,,,,,1,o
100,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[34]/td[1]/p/font,Section 4.09,100,,,,,,,,,,,,1,o
101,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[34]/td[2]/p/font,Disclosure Documents,101,,,,,,,,,,,,1,o
102,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[34]/td[3]/p/font,36,102,,,,,,,,,,,,1,o
103,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[35]/td[1]/p/font,Section 4.10,103,,,,,,,,,,,,1,o
104,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[35]/td[2]/p/font,Absence of Certain   Changes,104,,,,,,,,,,,,1,o
105,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[35]/td[3]/p/font,37,105,,,,,,,,,,,,1,o
106,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[36]/td[1]/p/font,Section 4.11,106,,,,,,,,,,,,1,o
107,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[36]/td[2]/p/font,No Undisclosed Material   Liabilities,107,,,,,,,,,,,,1,o
108,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[36]/td[3]/p/font,38,108,,,,,,,,,,,,1,o
109,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[37]/td[1]/p/font,Section 4.12,109,,,,,,,,,,,,1,o
110,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[37]/td[2]/p/font,Litigation,110,,,,,,,,,,,,1,o
111,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[37]/td[3]/p/font,38,111,,,,,,,,,,,,1,o
112,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[38]/td[1]/p/font,Section 4.13,112,,,,,,,,,,,,1,o
113,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[38]/td[2]/p/font,Permits,113,,,,,,,,,,,,1,o
114,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[38]/td[3]/p/font,38,114,,,,,,,,,,,,1,o
115,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[39]/td[1]/p/font,Section 4.14,115,,,,,,,,,,,,1,o
116,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[39]/td[2]/p/font,Compliance with Laws,116,,,,,,,,,,,,1,o
117,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[39]/td[3]/p/font,39,117,,,,,,,,,,,,1,o
118,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[40]/td[1]/p/font,Section 4.15,118,,,,,,,,,,,,1,o
119,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[40]/td[2]/p/font,Regulatory Matters,119,,,,,,,,,,,,1,o
120,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[40]/td[3]/p/font,39,120,,,,,,,,,,,,1,o
121,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[41]/td[1]/p/font,Section 4.16,121,,,,,,,,,,,,1,o
122,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[41]/td[2]/p/font,Material Contracts,122,,,,,,,,,,,,1,o
123,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[41]/td[3]/p/font,42,123,,,,,,,,,,,,1,o
124,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[42]/td[1]/p/font,Section 4.17,124,,,,,,,,,,,,1,o
125,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[42]/td[2]/p/font,Taxes,125,,,,,,,,,,,,1,o
126,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[42]/td[3]/p/font,45,126,,,,,,,,,,,,1,o
127,/html/body/document/type/sequence/filename/description/text/div[3]/p[5],i,127,,,,,,,,,,,,1,o
129,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[1]/td[1]/p/font,Section 4.18,129,,,,,,,,,,,,1,o
130,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[1]/td[2]/p/font,Employees and Employee   Benefit Plans,130,,,,,,,,,,,,1,o
131,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[1]/td[3]/p/font,46,131,,,,,,,,,,,,1,o
132,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[2]/td[1]/p/font,Section 4.19,132,,,,,,,,,,,,1,o
133,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[2]/td[2]/p/font,Labor Matters,133,,,,,,,,,,,,1,o
134,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[2]/td[3]/p/font,48,134,,,,,,,,,,,,1,o
135,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[3]/td[1]/p/font,Section 4.20,135,,,,,,,,,,,,1,o
136,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[3]/td[2]/p/font,Intellectual Property,136,,,,,,,,,,,,1,o
137,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[3]/td[3]/p/font,49,137,,,,,,,,,,,,1,o
138,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[4]/td[1]/p/font,Section 4.21,138,,,,,,,,,,,,1,o
139,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[4]/td[2]/p/font,Properties,139,,,,,,,,,,,,1,o
140,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[4]/td[3]/p/font,51,140,,,,,,,,,,,,1,o
141,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[5]/td[1]/p/font,Section 4.22,141,,,,,,,,,,,,1,o
142,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[5]/td[2]/p/font,Environmental Matters,142,,,,,,,,,,,,1,o
143,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[5]/td[3]/p/font,52,143,,,,,,,,,,,,1,o
144,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[6]/td[1]/p/font,Section 4.23,144,,,,,,,,,,,,1,o
145,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[6]/td[2]/p/font,FCPA; Anti-Corruption;   Sanctions,145,,,,,,,,,,,,1,o
146,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[6]/td[3]/p/font,52,146,,,,,,,,,,,,1,o
147,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[7]/td[1]/p/font,Section 4.24,147,,,,,,,,,,,,1,o
148,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[7]/td[2]/p/font,Insurance,148,,,,,,,,,,,,1,o
149,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[7]/td[3]/p/font,53,149,,,,,,,,,,,,1,o
150,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[8]/td[1]/p/font,Section 4.25,150,,,,,,,,,,,,1,o
151,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[8]/td[2]/p/font,Transactions with   Affiliates,151,,,,,,,,,,,,1,o
152,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[8]/td[3]/p/font,53,152,,,,,,,,,,,,1,o
153,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[9]/td[1]/p/font,Section 4.26,153,,,,,,,,,,,,1,o
154,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[9]/td[2]/p/font,Antitakeover Statutes,154,,,,,,,,,,,,1,o
155,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[9]/td[3]/p/font,53,155,,,,,,,,,,,,1,o
156,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[10]/td[1]/p/font,Section 4.27,156,,,,,,,,,,,,1,o
157,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[10]/td[2]/p/font,Opinions of Financial   Advisors,157,,,,,,,,,,,,1,o
158,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[10]/td[3]/p/font,53,158,,,,,,,,,,,,1,o
159,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[11]/td[1]/p/font,Section 4.28,159,,,,,,,,,,,,1,o
160,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[11]/td[2]/p/font,Finders’ Fees,160,,,,,,,,,,,,1,o
161,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[11]/td[3]/p/font,54,161,,,,,,,,,,,,1,o
162,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[12]/td[1]/p/font,Section 4.29,162,,,,,,,,,,,,1,o
163,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[12]/td[2]/p/font,No Ownership of Parent   Ordinary Shares,163,,,,,,,,,,,,1,o
164,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[12]/td[3]/p/font,54,164,,,,,,,,,,,,1,o
165,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[13]/td[1]/p/font,Section 4.30,165,,,,,,,,,,,,1,o
166,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[13]/td[2]/p/font,No Other   Representations and Warranties,166,,,,,,,,,,,,1,o
167,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[13]/td[3]/p/font,54,167,,,,,,,,,,,,1,o
168,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[15]/td[1]/p/font,"ARTICLE   V REPRESENTATIONS AND WARRANTIES OF PARENT, BIDCO AND MERGER SUBS",168,,,,,,,,,,,,1,o
169,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[15]/td[2]/p/font,55,169,,,,,,,,,,,,1,o
170,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[16]/td[1]/p/font,Section 5.01,170,,,,,,,,,,,,1,o
171,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[16]/td[2]/p/font,Corporate Existence and   Power,171,,,,,,,,,,,,1,o
172,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[16]/td[3]/p/font,55,172,,,,,,,,,,,,1,o
173,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[17]/td[1]/p/font,Section 5.02,173,,,,,,,,,,,,1,o
174,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[17]/td[2]/p/font,Corporate Authorization,174,,,,,,,,,,,,1,o
175,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[17]/td[3]/p/font,55,175,,,,,,,,,,,,1,o
176,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[18]/td[1]/p/font,Section 5.03,176,,,,,,,,,,,,1,o
177,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[18]/td[2]/p/font,Governmental   Authorization,177,,,,,,,,,,,,1,o
178,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[18]/td[3]/p/font,56,178,,,,,,,,,,,,1,o
179,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[19]/td[1]/p/font,Section 5.04,179,,,,,,,,,,,,1,o
180,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[19]/td[2]/p/font,Non-contravention,180,,,,,,,,,,,,1,o
181,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[19]/td[3]/p/font,57,181,,,,,,,,,,,,1,o
182,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[20]/td[1]/p/font,Section 5.05,182,,,,,,,,,,,,1,o
183,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[20]/td[2]/p/font,Capitalization,183,,,,,,,,,,,,1,o
184,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[20]/td[3]/p/font,57,184,,,,,,,,,,,,1,o
185,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[21]/td[1]/p/font,Section 5.06,185,,,,,,,,,,,,1,o
186,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[21]/td[2]/p/font,Subsidiaries,186,,,,,,,,,,,,1,o
187,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[21]/td[3]/p/font,58,187,,,,,,,,,,,,1,o
188,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[22]/td[1]/p/font,Section 5.07,188,,,,,,,,,,,,1,o
189,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[22]/td[2]/p/font,SEC Filings and the Sarbanes-Oxley   Act,189,,,,,,,,,,,,1,o
190,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[22]/td[3]/p/font,59,190,,,,,,,,,,,,1,o
191,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[23]/td[1]/p/font,Section 5.08,191,,,,,,,,,,,,1,o
192,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[23]/td[2]/p/font,Financial Statements   and Financial Matters,192,,,,,,,,,,,,1,o
193,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[23]/td[3]/p/font,61,193,,,,,,,,,,,,1,o
194,/html/body/document/type/sequence/filename/description/text/div[5]/table/tbody/tr[24]/td[1]/p/font,Section 5.09,194,,,,,,,,,,,,1,o
