,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,is_outside
30,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[6]/td[2]/p,Closing,30,,,,,,,,,,,,1
31,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[6]/td[3]/p,16,31,,,,,,,,,,,,1
32,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[7]/td[1]/p,Section 2.3,32,,,,,,,,,,,,1
33,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[7]/td[2]/p,Organizational Documents,33,,,,,,,,,,,,1
34,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[7]/td[3]/p,16,34,,,,,,,,,,,,1
35,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[8]/td[1]/p,Section 2.4,35,,,,,,,,,,,,1
36,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[8]/td[2]/p,Directors and Officers of the Surviving Corporation,36,,,,,,,,,,,,1
37,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[8]/td[3]/p,16,37,,,,,,,,,,,,1
38,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[9]/td[1]/p,ARTICLE III MERGER CONSIDERATION; EXCHANGE PROCEDURES,38,,,,,,,,,,,,1
39,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[9]/td[2]/p,16,39,,,,,,,,,,,,1
40,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[10]/td[1]/p,Section 3.1,40,,,,,,,,,,,,1
41,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[10]/td[2]/p,Effect of the Merger on Capital Stock,41,,,,,,,,,,,,1
42,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[10]/td[3]/p,16,42,,,,,,,,,,,,1
43,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[11]/td[1]/p,Section 3.2,43,,,,,,,,,,,,1
44,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[11]/td[2]/p,Treatment of Equity Compensation Awards,44,,,,,,,,,,,,1
45,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[11]/td[3]/p,18,45,,,,,,,,,,,,1
46,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[12]/td[1]/p,Section 3.3,46,,,,,,,,,,,,1
47,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[12]/td[2]/p,Payment for Securities,47,,,,,,,,,,,,1
48,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[12]/td[3]/p,20,48,,,,,,,,,,,,1
49,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[13]/td[1]/p,Section 3.4,49,,,,,,,,,,,,1
50,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[13]/td[2]/p,Dissenter’s Rights,50,,,,,,,,,,,,1
51,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[13]/td[3]/p,22,51,,,,,,,,,,,,1
52,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[14]/td[1]/p,Section 3.5,52,,,,,,,,,,,,1
53,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[14]/td[2]/p,No Dividends or Distributions,53,,,,,,,,,,,,1
54,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[14]/td[3]/p,23,54,,,,,,,,,,,,1
55,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[15]/td[1]/p,Section 3.6,55,,,,,,,,,,,,1
56,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[15]/td[2]/p,Withholding Taxes,56,,,,,,,,,,,,1
57,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[15]/td[3]/p,23,57,,,,,,,,,,,,1
58,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[16]/td[1]/p,ARTICLE IV REPRESENTATIONS AND WARRANTIES OF THE COMPANY,58,,,,,,,,,,,,1
59,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[16]/td[2]/p,23,59,,,,,,,,,,,,1
60,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[17]/td[1]/p,Section 4.1,60,,,,,,,,,,,,1
61,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[17]/td[2]/p,"Organization, General Authority and Standing",61,,,,,,,,,,,,1
62,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[17]/td[3]/p,23,62,,,,,,,,,,,,1
63,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[18]/td[1]/p,Section 4.2,63,,,,,,,,,,,,1
64,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[18]/td[2]/p,Capital Structure,64,,,,,,,,,,,,1
65,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[18]/td[3]/p,24,65,,,,,,,,,,,,1
66,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[19]/td[1]/p,Section 4.3,66,,,,,,,,,,,,1
67,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[19]/td[2]/p,Company Subsidiaries; Equity Interests,67,,,,,,,,,,,,1
68,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[19]/td[3]/p,25,68,,,,,,,,,,,,1
69,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[20]/td[1]/p,Section 4.4,69,,,,,,,,,,,,1
70,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[20]/td[2]/p,Authority; Execution and Delivery; Enforceability,70,,,,,,,,,,,,1
71,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[20]/td[3]/p,26,71,,,,,,,,,,,,1
72,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[21]/td[1]/p,Section 4.5,72,,,,,,,,,,,,1
73,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[21]/td[2]/p,No Conflicts; Consents,73,,,,,,,,,,,,1
74,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[21]/td[3]/p,27,74,,,,,,,,,,,,1
75,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[22]/td[1]/p,Section 4.6,75,,,,,,,,,,,,1
76,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[22]/td[2]/p,SEC Documents; Undisclosed Liabilities,76,,,,,,,,,,,,1
77,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[22]/td[3]/p,27,77,,,,,,,,,,,,1
78,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[23]/td[1]/p,Section 4.7,78,,,,,,,,,,,,1
79,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[23]/td[2]/p,Information Supplied,79,,,,,,,,,,,,1
80,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[23]/td[3]/p,29,80,,,,,,,,,,,,1
81,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[24]/td[1]/p,Section 4.8,81,,,,,,,,,,,,1
82,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[24]/td[2]/p,Absence of Certain Changes or Events,82,,,,,,,,,,,,1
83,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[24]/td[3]/p,29,83,,,,,,,,,,,,1
84,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[25]/td[1]/p,Section 4.9,84,,,,,,,,,,,,1
85,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[25]/td[2]/p,Taxes,85,,,,,,,,,,,,1
86,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[25]/td[3]/p,30,86,,,,,,,,,,,,1
87,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[26]/td[1]/p,Section 4.10,87,,,,,,,,,,,,1
88,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[26]/td[2]/p,Labor Relations,88,,,,,,,,,,,,1
89,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[26]/td[3]/p,32,89,,,,,,,,,,,,1
90,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[27]/td[1]/p,Section 4.11,90,,,,,,,,,,,,1
91,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[27]/td[2]/p,Employee Benefits,91,,,,,,,,,,,,1
92,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[27]/td[3]/p,32,92,,,,,,,,,,,,1
93,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[28]/td[1]/p,Section 4.12,93,,,,,,,,,,,,1
94,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[28]/td[2]/p,Title to Properties,94,,,,,,,,,,,,1
95,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[28]/td[3]/p,34,95,,,,,,,,,,,,1
96,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[29]/td[1]/p,Section 4.13,96,,,,,,,,,,,,1
97,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[29]/td[2]/p,Material Contracts,97,,,,,,,,,,,,1
98,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[29]/td[3]/p,34,98,,,,,,,,,,,,1
99,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[30]/td[1]/p,Section 4.14,99,,,,,,,,,,,,1
100,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[30]/td[2]/p,Litigation,100,,,,,,,,,,,,1
101,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[30]/td[3]/p,36,101,,,,,,,,,,,,1
102,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[31]/td[1]/p,Section 4.15,102,,,,,,,,,,,,1
103,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[31]/td[2]/p,Compliance with Laws,103,,,,,,,,,,,,1
104,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[31]/td[3]/p,37,104,,,,,,,,,,,,1
105,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[32]/td[1]/p,Section 4.16,105,,,,,,,,,,,,1
106,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[32]/td[2]/p,Environmental Matters,106,,,,,,,,,,,,1
107,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[32]/td[3]/p,37,107,,,,,,,,,,,,1
108,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[33]/td[1]/p,Section 4.17,108,,,,,,,,,,,,1
109,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[33]/td[2]/p,Intellectual Property,109,,,,,,,,,,,,1
110,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[33]/td[3]/p,38,110,,,,,,,,,,,,1
111,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[34]/td[1]/p,Section 4.18,111,,,,,,,,,,,,1
112,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[34]/td[2]/p,Insurance,112,,,,,,,,,,,,1
113,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[34]/td[3]/p,39,113,,,,,,,,,,,,1
Unnamed 8,/html/body/document/type/sequence/filename/description/text/div[2]/div[1]/div/div,i,114,/html/body/document/type/sequence/filename/description/text/div[2]/div[1]/div/div,i,n,8.0,"[0.02925991189427313, 0.49870902777777776, 0.0025770416666666667, 0.00038870173620108835]",1.0,8.0,0.02925991189427313,0.49870902777777776,0.0025770416666666667,0.00038870173620108835,0
115,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[1]/td[1]/p,Section 4.19,115,,,,,,,,,,,,1
116,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[1]/td[2]/p,Brokers and Other Advisors,116,,,,,,,,,,,,1
117,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[1]/td[3]/p,39,117,,,,,,,,,,,,1
118,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[2]/td[1]/p,Section 4.20,118,,,,,,,,,,,,1
119,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[2]/td[2]/p,Opinion of Financial Advisor,119,,,,,,,,,,,,1
120,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[2]/td[3]/p,39,120,,,,,,,,,,,,1
121,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[3]/td[1]/p,Section 4.21,121,,,,,,,,,,,,1
122,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[3]/td[2]/p,Related Party Transactions,122,,,,,,,,,,,,1
123,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[3]/td[3]/p,40,123,,,,,,,,,,,,1
124,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[4]/td[1]/p,Section 4.22,124,,,,,,,,,,,,1
125,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[4]/td[2]/p,Takeover Laws,125,,,,,,,,,,,,1
126,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[4]/td[3]/p,40,126,,,,,,,,,,,,1
127,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[5]/td[1]/p,Section 4.23,127,,,,,,,,,,,,1
128,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[5]/td[2]/p,International Trade and Anti-Corruption.,128,,,,,,,,,,,,1
129,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[5]/td[3]/p,40,129,,,,,,,,,,,,1
130,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[6]/td[1]/p,Section 4.24,130,,,,,,,,,,,,1
131,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[6]/td[2]/p,No Other Representations or Warranties; Reliance Disclaimer,131,,,,,,,,,,,,1
132,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[6]/td[3]/p,41,132,,,,,,,,,,,,1
133,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[7]/td[1]/p,ARTICLE V REPRESENTATIONS AND WARRANTIES OF PARENT AND MERGER SUB,133,,,,,,,,,,,,1
134,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[7]/td[2]/p,41,134,,,,,,,,,,,,1
135,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[8]/td[1]/p,Section 5.1,135,,,,,,,,,,,,1
136,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[8]/td[2]/p,"Organization, General Authority and Standing",136,,,,,,,,,,,,1
137,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[8]/td[3]/p,41,137,,,,,,,,,,,,1
138,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[9]/td[1]/p,Section 5.2,138,,,,,,,,,,,,1
139,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[9]/td[2]/p,Capitalization and Business Conduct of Merger Sub,139,,,,,,,,,,,,1
140,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[9]/td[3]/p,41,140,,,,,,,,,,,,1
141,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[10]/td[1]/p,Section 5.3,141,,,,,,,,,,,,1
142,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[10]/td[2]/p,Authority; Execution and Delivery; Enforceability,142,,,,,,,,,,,,1
143,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[10]/td[3]/p,42,143,,,,,,,,,,,,1
144,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[11]/td[1]/p,Section 5.4,144,,,,,,,,,,,,1
145,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[11]/td[2]/p,No Conflicts; Consents,145,,,,,,,,,,,,1
146,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[11]/td[3]/p,42,146,,,,,,,,,,,,1
147,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[12]/td[1]/p,Section 5.5,147,,,,,,,,,,,,1
148,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[12]/td[2]/p,Financing,148,,,,,,,,,,,,1
149,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[12]/td[3]/p,43,149,,,,,,,,,,,,1
150,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[13]/td[1]/p,Section 5.6,150,,,,,,,,,,,,1
151,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[13]/td[2]/p,Information Supplied,151,,,,,,,,,,,,1
152,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[13]/td[3]/p,44,152,,,,,,,,,,,,1
153,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[14]/td[1]/p,Section 5.7,153,,,,,,,,,,,,1
154,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[14]/td[2]/p,Litigation,154,,,,,,,,,,,,1
155,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[14]/td[3]/p,44,155,,,,,,,,,,,,1
156,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[15]/td[1]/p,Section 5.8,156,,,,,,,,,,,,1
157,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[15]/td[2]/p,Brokers and Other Advisors,157,,,,,,,,,,,,1
158,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[15]/td[3]/p,44,158,,,,,,,,,,,,1
159,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[16]/td[1]/p,Section 5.9,159,,,,,,,,,,,,1
160,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[16]/td[2]/p,Ownership of Company Common Stock,160,,,,,,,,,,,,1
161,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[16]/td[3]/p,44,161,,,,,,,,,,,,1
162,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[17]/td[1]/p,Section 5.10,162,,,,,,,,,,,,1
163,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[17]/td[2]/p,Solvency,163,,,,,,,,,,,,1
164,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[17]/td[3]/p,44,164,,,,,,,,,,,,1
165,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[18]/td[1]/p,Section 5.11,165,,,,,,,,,,,,1
166,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[18]/td[2]/p,Guarantee,166,,,,,,,,,,,,1
167,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[18]/td[3]/p,45,167,,,,,,,,,,,,1
168,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[19]/td[1]/p,Section 5.12,168,,,,,,,,,,,,1
169,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[19]/td[2]/p,Absence of Certain Arrangements,169,,,,,,,,,,,,1
170,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[19]/td[3]/p,45,170,,,,,,,,,,,,1
171,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[20]/td[1]/p,Section 5.13,171,,,,,,,,,,,,1
172,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[20]/td[2]/p,No Other Representations or Warranties; Reliance Disclaimer,172,,,,,,,,,,,,1
173,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[20]/td[3]/p,45,173,,,,,,,,,,,,1
174,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[21]/td[1]/p,ARTICLE VI COVENANTS,174,,,,,,,,,,,,1
175,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[21]/td[2]/p,46,175,,,,,,,,,,,,1
176,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[22]/td[1]/p,Section 6.1,176,,,,,,,,,,,,1
177,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[22]/td[2]/p,Conduct of Business by the Company,177,,,,,,,,,,,,1
178,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[22]/td[3]/p,46,178,,,,,,,,,,,,1
179,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[23]/td[1]/p,Section 6.2,179,,,,,,,,,,,,1
180,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[23]/td[2]/p,Conduct of Business by Parent and Merger Sub,180,,,,,,,,,,,,1
181,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[23]/td[3]/p,49,181,,,,,,,,,,,,1
182,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[24]/td[1]/p,Section 6.3,182,,,,,,,,,,,,1
183,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[24]/td[2]/p,Efforts to Consummate the Merger,183,,,,,,,,,,,,1
184,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[24]/td[3]/p,49,184,,,,,,,,,,,,1
185,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[25]/td[1]/p,Section 6.4,185,,,,,,,,,,,,1
186,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[25]/td[2]/p,No Solicitation by the Company and Company Change in Recommendation,186,,,,,,,,,,,,1
187,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[25]/td[3]/p,51,187,,,,,,,,,,,,1
188,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[26]/td[1]/p,Section 6.5,188,,,,,,,,,,,,1
189,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[26]/td[2]/p,Preparation of Proxy Statement; Schedule 13E-3,189,,,,,,,,,,,,1
190,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[26]/td[3]/p,54,190,,,,,,,,,,,,1
191,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[27]/td[1]/p,Section 6.6,191,,,,,,,,,,,,1
192,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[27]/td[2]/p,Company Stockholders Meeting,192,,,,,,,,,,,,1
193,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[27]/td[3]/p,55,193,,,,,,,,,,,,1
194,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[28]/td[1]/p,Section 6.7,194,,,,,,,,,,,,1
