,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
10,/html/body/document/type/sequence/filename/description/text/p[14]/b,"PROJECT QUICK PARENT, LLC",10,/html/body/document/type/sequence/filename/description/text/p[14]/b,"PROJECT QUICK PARENT, LLC",t,3,"[0.006063747084736978, 0.43030625, 0.13938819444444445, 0.00038870173620108835]",1.0,3.0,0.006063747084736978,0.43030625,0.13938819444444445,0.00038870173620108835,0.006063747084736978,1.0
11,/html/body/document/type/sequence/filename/description/text/p[16]/b,AND,11,/html/body/document/type/sequence/filename/description/text/p[16]/b,AND,t,4,"[0.006867064006219227, 0.48996874999999995, 0.0200575, 0.00038870173620108835]",1.0,4.0,0.006867064006219227,0.48996874999999995,0.0200575,0.00038870173620108835,0.006867064006219227,1.0
12,/html/body/document/type/sequence/filename/description/text/p[18]/b,"PROJECT QUICK MERGER SUB, INC.",12,/html/body/document/type/sequence/filename/description/text/p[18]/b,"PROJECT QUICK MERGER SUB, INC.",t,5,"[0.007670380927701477, 0.4175347222222222, 0.16493055555555555, 0.00038870173620108835]",1.0,5.0,0.007670380927701477,0.4175347222222222,0.16493055555555555,0.00038870173620108835,0.007670380927701477,1.0
13,/html/body/document/type/sequence/filename/description/text/p[20]/b,"Dated as of June 27, 2021",13,/html/body/document/type/sequence/filename/description/text/p[20]/b,"Dated as of June 27, 2021",t,6,"[0.008473697849183726, 0.4498534722222222, 0.10028749999999999, 0.00038870173620108835]",1.0,6.0,0.008473697849183726,0.4498534722222222,0.10028749999999999,0.00038870173620108835,0.008473697849183726,1.0
14,/html/body/document/type/sequence/filename/description/text/p[28]/u,TABLE OF CONTENTS,14,/html/body/document/type/sequence/filename/description/text/p[28]/u,TABLE OF CONTENTS,t,7,"[0.014398574760300596, 0.4530541666666667, 0.09388541666666667, 0.00038870173620108835]",1.0,7.0,0.014398574760300596,0.4530541666666667,0.09388541666666667,0.00038870173620108835,0.014398574760300596,1.0
15,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[1]/p,ARTICLE I DEFINITIONS,15,,,,,,,,,,,,,
16,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[2]/p,2,16,,,,,,,,,,,,,
17,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[1]/p,Section 1.1,17,,,,,,,,,,,,,
18,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[2]/p,Certain Definitions,18,,,,,,,,,,,,,
19,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[3]/p,2,19,,,,,,,,,,,,,
20,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[1]/p,Section 1.2,20,,,,,,,,,,,,,
21,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[2]/p,Interpretation,21,,,,,,,,,,,,,
22,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[3]/p,14,22,,,,,,,,,,,,,
23,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[1]/p,ARTICLE II THE MERGER; EFFECTS OF THE MERGER,23,,,,,,,,,,,,,
24,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[2]/p,15,24,,,,,,,,,,,,,
25,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[1]/p,Section 2.1,25,,,,,,,,,,,,,
26,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[2]/p,The Merger,26,,,,,,,,,,,,,
27,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[3]/p,15,27,,,,,,,,,,,,,
28,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[6]/td[1]/p,Section 2.2,28,,,,,,,,,,,,,
29,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[6]/td[2]/p,Closing,29,,,,,,,,,,,,,
30,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[6]/td[3]/p,16,30,,,,,,,,,,,,,
31,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[7]/td[1]/p,Section 2.3,31,,,,,,,,,,,,,
32,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[7]/td[2]/p,Organizational Documents,32,,,,,,,,,,,,,
33,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[7]/td[3]/p,16,33,,,,,,,,,,,,,
34,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[8]/td[1]/p,Section 2.4,34,,,,,,,,,,,,,
35,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[8]/td[2]/p,Directors and Officers of the Surviving Corporation,35,,,,,,,,,,,,,
36,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[8]/td[3]/p,16,36,,,,,,,,,,,,,
37,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[9]/td[1]/p,ARTICLE III MERGER CONSIDERATION; EXCHANGE PROCEDURES,37,,,,,,,,,,,,,
38,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[9]/td[2]/p,16,38,,,,,,,,,,,,,
39,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[10]/td[1]/p,Section 3.1,39,,,,,,,,,,,,,
40,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[10]/td[2]/p,Effect of the Merger on Capital Stock,40,,,,,,,,,,,,,
41,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[10]/td[3]/p,16,41,,,,,,,,,,,,,
42,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[11]/td[1]/p,Section 3.2,42,,,,,,,,,,,,,
43,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[11]/td[2]/p,Treatment of Equity Compensation Awards,43,,,,,,,,,,,,,
44,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[11]/td[3]/p,18,44,,,,,,,,,,,,,
45,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[12]/td[1]/p,Section 3.3,45,,,,,,,,,,,,,
46,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[12]/td[2]/p,Payment for Securities,46,,,,,,,,,,,,,
47,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[12]/td[3]/p,20,47,,,,,,,,,,,,,
48,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[13]/td[1]/p,Section 3.4,48,,,,,,,,,,,,,
49,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[13]/td[2]/p,Dissenter’s Rights,49,,,,,,,,,,,,,
50,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[13]/td[3]/p,22,50,,,,,,,,,,,,,
51,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[14]/td[1]/p,Section 3.5,51,,,,,,,,,,,,,
52,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[14]/td[2]/p,No Dividends or Distributions,52,,,,,,,,,,,,,
53,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[14]/td[3]/p,23,53,,,,,,,,,,,,,
54,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[15]/td[1]/p,Section 3.6,54,,,,,,,,,,,,,
55,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[15]/td[2]/p,Withholding Taxes,55,,,,,,,,,,,,,
56,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[15]/td[3]/p,23,56,,,,,,,,,,,,,
57,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[16]/td[1]/p,ARTICLE IV REPRESENTATIONS AND WARRANTIES OF THE COMPANY,57,,,,,,,,,,,,,
58,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[16]/td[2]/p,23,58,,,,,,,,,,,,,
59,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[17]/td[1]/p,Section 4.1,59,,,,,,,,,,,,,
60,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[17]/td[2]/p,"Organization, General Authority and Standing",60,,,,,,,,,,,,,
61,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[17]/td[3]/p,23,61,,,,,,,,,,,,,
62,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[18]/td[1]/p,Section 4.2,62,,,,,,,,,,,,,
63,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[18]/td[2]/p,Capital Structure,63,,,,,,,,,,,,,
64,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[18]/td[3]/p,24,64,,,,,,,,,,,,,
65,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[19]/td[1]/p,Section 4.3,65,,,,,,,,,,,,,
66,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[19]/td[2]/p,Company Subsidiaries; Equity Interests,66,,,,,,,,,,,,,
67,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[19]/td[3]/p,25,67,,,,,,,,,,,,,
68,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[20]/td[1]/p,Section 4.4,68,,,,,,,,,,,,,
69,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[20]/td[2]/p,Authority; Execution and Delivery; Enforceability,69,,,,,,,,,,,,,
70,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[20]/td[3]/p,26,70,,,,,,,,,,,,,
71,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[21]/td[1]/p,Section 4.5,71,,,,,,,,,,,,,
72,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[21]/td[2]/p,No Conflicts; Consents,72,,,,,,,,,,,,,
73,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[21]/td[3]/p,27,73,,,,,,,,,,,,,
74,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[22]/td[1]/p,Section 4.6,74,,,,,,,,,,,,,
75,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[22]/td[2]/p,SEC Documents; Undisclosed Liabilities,75,,,,,,,,,,,,,
76,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[22]/td[3]/p,27,76,,,,,,,,,,,,,
77,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[23]/td[1]/p,Section 4.7,77,,,,,,,,,,,,,
78,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[23]/td[2]/p,Information Supplied,78,,,,,,,,,,,,,
79,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[23]/td[3]/p,29,79,,,,,,,,,,,,,
80,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[24]/td[1]/p,Section 4.8,80,,,,,,,,,,,,,
81,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[24]/td[2]/p,Absence of Certain Changes or Events,81,,,,,,,,,,,,,
82,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[24]/td[3]/p,29,82,,,,,,,,,,,,,
83,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[25]/td[1]/p,Section 4.9,83,,,,,,,,,,,,,
84,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[25]/td[2]/p,Taxes,84,,,,,,,,,,,,,
85,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[25]/td[3]/p,30,85,,,,,,,,,,,,,
86,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[26]/td[1]/p,Section 4.10,86,,,,,,,,,,,,,
87,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[26]/td[2]/p,Labor Relations,87,,,,,,,,,,,,,
88,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[26]/td[3]/p,32,88,,,,,,,,,,,,,
89,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[27]/td[1]/p,Section 4.11,89,,,,,,,,,,,,,
90,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[27]/td[2]/p,Employee Benefits,90,,,,,,,,,,,,,
91,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[27]/td[3]/p,32,91,,,,,,,,,,,,,
92,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[28]/td[1]/p,Section 4.12,92,,,,,,,,,,,,,
93,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[28]/td[2]/p,Title to Properties,93,,,,,,,,,,,,,
94,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[28]/td[3]/p,34,94,,,,,,,,,,,,,
95,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[29]/td[1]/p,Section 4.13,95,,,,,,,,,,,,,
96,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[29]/td[2]/p,Material Contracts,96,,,,,,,,,,,,,
97,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[29]/td[3]/p,34,97,,,,,,,,,,,,,
98,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[30]/td[1]/p,Section 4.14,98,,,,,,,,,,,,,
99,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[30]/td[2]/p,Litigation,99,,,,,,,,,,,,,
100,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[30]/td[3]/p,36,100,,,,,,,,,,,,,
101,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[31]/td[1]/p,Section 4.15,101,,,,,,,,,,,,,
102,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[31]/td[2]/p,Compliance with Laws,102,,,,,,,,,,,,,
103,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[31]/td[3]/p,37,103,,,,,,,,,,,,,
104,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[32]/td[1]/p,Section 4.16,104,,,,,,,,,,,,,
105,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[32]/td[2]/p,Environmental Matters,105,,,,,,,,,,,,,
106,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[32]/td[3]/p,37,106,,,,,,,,,,,,,
107,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[33]/td[1]/p,Section 4.17,107,,,,,,,,,,,,,
108,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[33]/td[2]/p,Intellectual Property,108,,,,,,,,,,,,,
109,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[33]/td[3]/p,38,109,,,,,,,,,,,,,
110,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[34]/td[1]/p,Section 4.18,110,,,,,,,,,,,,,
111,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[34]/td[2]/p,Insurance,111,,,,,,,,,,,,,
112,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[34]/td[3]/p,39,112,,,,,,,,,,,,,
113,/html/body/document/type/sequence/filename/description/text/div[2]/div[1]/div/div,i,113,/html/body/document/type/sequence/filename/description/text/div[2]/div[1]/div/div,i,n,8,"[0.02925991189427313, 0.49870902777777776, 0.0025770416666666667, 0.00038870173620108835]",1.0,8.0,0.02925991189427313,0.49870902777777776,0.0025770416666666667,0.00038870173620108835,0.02925991189427313,1.0
114,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[1]/td[1]/p,Section 4.19,114,,,,,,,,,,,,,
115,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[1]/td[2]/p,Brokers and Other Advisors,115,,,,,,,,,,,,,
116,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[1]/td[3]/p,39,116,,,,,,,,,,,,,
117,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[2]/td[1]/p,Section 4.20,117,,,,,,,,,,,,,
118,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[2]/td[2]/p,Opinion of Financial Advisor,118,,,,,,,,,,,,,
119,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[2]/td[3]/p,39,119,,,,,,,,,,,,,
120,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[3]/td[1]/p,Section 4.21,120,,,,,,,,,,,,,
121,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[3]/td[2]/p,Related Party Transactions,121,,,,,,,,,,,,,
122,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[3]/td[3]/p,40,122,,,,,,,,,,,,,
123,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[4]/td[1]/p,Section 4.22,123,,,,,,,,,,,,,
124,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[4]/td[2]/p,Takeover Laws,124,,,,,,,,,,,,,
125,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[4]/td[3]/p,40,125,,,,,,,,,,,,,
126,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[5]/td[1]/p,Section 4.23,126,,,,,,,,,,,,,
127,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[5]/td[2]/p,International Trade and Anti-Corruption.,127,,,,,,,,,,,,,
128,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[5]/td[3]/p,40,128,,,,,,,,,,,,,
129,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[6]/td[1]/p,Section 4.24,129,,,,,,,,,,,,,
130,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[6]/td[2]/p,No Other Representations or Warranties; Reliance Disclaimer,130,,,,,,,,,,,,,
131,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[6]/td[3]/p,41,131,,,,,,,,,,,,,
132,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[7]/td[1]/p,ARTICLE V REPRESENTATIONS AND WARRANTIES OF PARENT AND MERGER SUB,132,,,,,,,,,,,,,
133,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[7]/td[2]/p,41,133,,,,,,,,,,,,,
134,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[8]/td[1]/p,Section 5.1,134,,,,,,,,,,,,,
135,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[8]/td[2]/p,"Organization, General Authority and Standing",135,,,,,,,,,,,,,
136,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[8]/td[3]/p,41,136,,,,,,,,,,,,,
137,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[9]/td[1]/p,Section 5.2,137,,,,,,,,,,,,,
138,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[9]/td[2]/p,Capitalization and Business Conduct of Merger Sub,138,,,,,,,,,,,,,
139,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[9]/td[3]/p,41,139,,,,,,,,,,,,,
140,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[10]/td[1]/p,Section 5.3,140,,,,,,,,,,,,,
141,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[10]/td[2]/p,Authority; Execution and Delivery; Enforceability,141,,,,,,,,,,,,,
142,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[10]/td[3]/p,42,142,,,,,,,,,,,,,
143,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[11]/td[1]/p,Section 5.4,143,,,,,,,,,,,,,
144,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[11]/td[2]/p,No Conflicts; Consents,144,,,,,,,,,,,,,
145,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[11]/td[3]/p,42,145,,,,,,,,,,,,,
146,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[12]/td[1]/p,Section 5.5,146,,,,,,,,,,,,,
147,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[12]/td[2]/p,Financing,147,,,,,,,,,,,,,
148,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[12]/td[3]/p,43,148,,,,,,,,,,,,,
149,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[13]/td[1]/p,Section 5.6,149,,,,,,,,,,,,,
150,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[13]/td[2]/p,Information Supplied,150,,,,,,,,,,,,,
151,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[13]/td[3]/p,44,151,,,,,,,,,,,,,
152,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[14]/td[1]/p,Section 5.7,152,,,,,,,,,,,,,
153,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[14]/td[2]/p,Litigation,153,,,,,,,,,,,,,
154,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[14]/td[3]/p,44,154,,,,,,,,,,,,,
155,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[15]/td[1]/p,Section 5.8,155,,,,,,,,,,,,,
156,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[15]/td[2]/p,Brokers and Other Advisors,156,,,,,,,,,,,,,
157,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[15]/td[3]/p,44,157,,,,,,,,,,,,,
158,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[16]/td[1]/p,Section 5.9,158,,,,,,,,,,,,,
159,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[16]/td[2]/p,Ownership of Company Common Stock,159,,,,,,,,,,,,,
160,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[16]/td[3]/p,44,160,,,,,,,,,,,,,
161,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[17]/td[1]/p,Section 5.10,161,,,,,,,,,,,,,
162,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[17]/td[2]/p,Solvency,162,,,,,,,,,,,,,
163,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[17]/td[3]/p,44,163,,,,,,,,,,,,,
164,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[18]/td[1]/p,Section 5.11,164,,,,,,,,,,,,,
165,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[18]/td[2]/p,Guarantee,165,,,,,,,,,,,,,
166,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[18]/td[3]/p,45,166,,,,,,,,,,,,,
167,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[19]/td[1]/p,Section 5.12,167,,,,,,,,,,,,,
168,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[19]/td[2]/p,Absence of Certain Arrangements,168,,,,,,,,,,,,,
169,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[19]/td[3]/p,45,169,,,,,,,,,,,,,
170,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[20]/td[1]/p,Section 5.13,170,,,,,,,,,,,,,
171,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[20]/td[2]/p,No Other Representations or Warranties; Reliance Disclaimer,171,,,,,,,,,,,,,
172,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[20]/td[3]/p,45,172,,,,,,,,,,,,,
173,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[21]/td[1]/p,ARTICLE VI COVENANTS,173,,,,,,,,,,,,,
174,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[21]/td[2]/p,46,174,,,,,,,,,,,,,
175,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[22]/td[1]/p,Section 6.1,175,,,,,,,,,,,,,
176,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[22]/td[2]/p,Conduct of Business by the Company,176,,,,,,,,,,,,,
177,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[22]/td[3]/p,46,177,,,,,,,,,,,,,
178,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[23]/td[1]/p,Section 6.2,178,,,,,,,,,,,,,
179,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[23]/td[2]/p,Conduct of Business by Parent and Merger Sub,179,,,,,,,,,,,,,
180,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[23]/td[3]/p,49,180,,,,,,,,,,,,,
181,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[24]/td[1]/p,Section 6.3,181,,,,,,,,,,,,,
182,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[24]/td[2]/p,Efforts to Consummate the Merger,182,,,,,,,,,,,,,
183,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[24]/td[3]/p,49,183,,,,,,,,,,,,,
184,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[25]/td[1]/p,Section 6.4,184,,,,,,,,,,,,,
185,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[25]/td[2]/p,No Solicitation by the Company and Company Change in Recommendation,185,,,,,,,,,,,,,
186,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[25]/td[3]/p,51,186,,,,,,,,,,,,,
187,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[26]/td[1]/p,Section 6.5,187,,,,,,,,,,,,,
188,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[26]/td[2]/p,Preparation of Proxy Statement; Schedule 13E-3,188,,,,,,,,,,,,,
189,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[26]/td[3]/p,54,189,,,,,,,,,,,,,
190,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[27]/td[1]/p,Section 6.6,190,,,,,,,,,,,,,
191,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[27]/td[2]/p,Company Stockholders Meeting,191,,,,,,,,,,,,,
192,/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[27]/td[3]/p,55,192,,,,,,,,,,,,,
